"","Intersect","bin"
"1","Erebus-TR","Erebus-TR_bin.1.orig_final"
"2","Erebus-TR","Erebus-TR_bin.10.permissive_final"
"3","Erebus-TR","Erebus-TR_bin.11.strict_final"
"4","Erebus-TR","Erebus-TR_bin.13.strict_final"
"5","Erebus-TR","Erebus-TR_bin.14.permissive_final"
"6","Erebus-TR","Erebus-TR_bin.16.strict_final"
"7","Erebus-TR","Erebus-TR_bin.19.strict_final"
"8","Erebus-TR","Erebus-TR_bin.20.strict_final"
"9","Erebus-TR","Erebus-TR_bin.21.strict_final"
"10","Erebus-TR","Erebus-TR_bin.22.permissive_final"
"11","Erebus-TR","Erebus-TR_bin.5.permissive_final"
"12","Erebus-WC","Erebus-WC_bin.20.strict_final"
"13","Erebus-WC","Erebus-WC_bin.24.orig_final"
"14","Erebus-WC","Erebus-WC_bin.33.strict_final"
"15","Erebus-WC","Erebus-WC_bin.36.permissive_final"
"16","Erebus-WC","Erebus-WC_bin.37.strict_final"
"17","Erebus-WC","Erebus-WC_bin.38.permissive_final"
"18","Erebus-WC","Erebus-WC_bin.49.orig_final"
"19","Erebus-WC","Erebus-WC_bin.5.orig_final"
"20","Erebus-WC","Erebus-WC_bin.59.orig_final"
"21","Erebus-WC","Erebus-WC_bin.9.orig_final"
"22","Melbourne..Rittmann","Mel_bin.28.orig_final"
"23","Erebus-TR..Rittmann","Erebus-TR_bin.12.permissive_final"
"24","Erebus-TR..Rittmann","Erebus-TR_bin.4.strict_final"
"25","Erebus-TR..Rittmann","Erebus-TR_bin.7.permissive_final"
"26","Erebus-TR..Rittmann","Erebus-TR_bin.8.permissive_final"
"27","Erebus-TR..Rittmann","Erebus-TR_bin.9.permissive_final"
"28","Erebus-TR..Rittmann","Ritt_bin.14.strict_final"
"29","Erebus-TR..Rittmann","Ritt_bin.4.orig_final"
"30","Erebus-WC..Rittmann","Erebus-WC_bin.13.orig_final"
"31","Erebus-WC..Rittmann","Erebus-WC_bin.14.orig_final"
"32","Erebus-WC..Rittmann","Erebus-WC_bin.23.strict_final"
"33","Erebus-WC..Melbourne","Erebus-WC_bin.12.permissive_final"
"34","Erebus-WC..Melbourne","Erebus-WC_bin.15.strict_final"
"35","Erebus-WC..Melbourne","Erebus-WC_bin.19.orig_final"
"36","Erebus-WC..Melbourne","Erebus-WC_bin.21.strict_final"
"37","Erebus-WC..Melbourne","Erebus-WC_bin.25.orig_final"
"38","Erebus-WC..Melbourne","Erebus-WC_bin.26.orig_final"
"39","Erebus-WC..Melbourne","Erebus-WC_bin.28.permissive_final"
"40","Erebus-WC..Melbourne","Erebus-WC_bin.29.strict_final"
"41","Erebus-WC..Melbourne","Erebus-WC_bin.35.orig_final"
"42","Erebus-WC..Melbourne","Erebus-WC_bin.47.orig_final"
"43","Erebus-WC..Melbourne","Erebus-WC_bin.57.orig_final"
"44","Erebus-WC..Melbourne","Erebus-WC_bin.8.strict_final"
"45","Erebus-WC..Melbourne","Mel_bin.11.strict_final"
"46","Erebus-WC..Melbourne","Mel_bin.12.orig_final"
"47","Erebus-WC..Melbourne","Mel_bin.13.orig_final"
"48","Erebus-WC..Melbourne","Mel_bin.14.orig_final"
"49","Erebus-WC..Melbourne","Mel_bin.15.permissive_final"
"50","Erebus-WC..Melbourne","Mel_bin.18.orig_final"
"51","Erebus-WC..Melbourne","Mel_bin.2.strict_final"
"52","Erebus-WC..Melbourne","Mel_bin.20.orig_final"
"53","Erebus-WC..Melbourne","Mel_bin.25.orig_final"
"54","Erebus-WC..Melbourne","Mel_bin.26.orig_final"
"55","Erebus-WC..Melbourne","Mel_bin.27.orig_final"
"56","Erebus-WC..Melbourne","Mel_bin.29.orig_final"
"57","Erebus-WC..Melbourne","Mel_bin.33.orig_final"
"58","Erebus-WC..Melbourne","Mel_bin.34.strict_final"
"59","Erebus-WC..Melbourne","Mel_bin.36.orig_final"
"60","Erebus-WC..Melbourne","Mel_bin.37.strict_final"
"61","Erebus-WC..Melbourne","Mel_bin.39.orig_final"
"62","Erebus-WC..Melbourne","Mel_bin.4.strict_final"
"63","Erebus-WC..Melbourne","Mel_bin.41.orig_final"
"64","Erebus-WC..Melbourne","Mel_bin.5.orig_final"
"65","Erebus-WC..Melbourne","Mel_bin.6.orig_final"
"66","Erebus-WC..Melbourne","Mel_bin.7.orig_final"
"67","Erebus-WC..Melbourne","Mel_bin.8.permissive_final"
"68","Erebus-WC..Melbourne","Mel_bin.9.orig_final"
"69","Erebus-TR..Erebus-WC","Erebus-TR_bin.15.permissive_final"
"70","Erebus-TR..Erebus-WC","Erebus-TR_bin.18.strict_final"
"71","Erebus-TR..Erebus-WC","Erebus-WC_bin.16.permissive_final"
"72","Erebus-TR..Erebus-WC","Erebus-WC_bin.2.strict_final"
"73","Erebus-TR..Erebus-WC","Erebus-WC_bin.55.permissive_final"
"74","Erebus-WC..Melbourne..Rittmann","Erebus-WC_bin.31.orig_final"
"75","Erebus-WC..Melbourne..Rittmann","Erebus-WC_bin.32.strict_final"
"76","Erebus-WC..Melbourne..Rittmann","Erebus-WC_bin.43.strict_final"
"77","Erebus-WC..Melbourne..Rittmann","Erebus-WC_bin.46.orig_final"
"78","Erebus-WC..Melbourne..Rittmann","Erebus-WC_bin.7.strict_final"
"79","Erebus-WC..Melbourne..Rittmann","Mel_bin.1.orig_final"
"80","Erebus-WC..Melbourne..Rittmann","Mel_bin.17.orig_final"
"81","Erebus-WC..Melbourne..Rittmann","Mel_bin.21.strict_final"
"82","Erebus-WC..Melbourne..Rittmann","Mel_bin.24.orig_final"
"83","Erebus-WC..Melbourne..Rittmann","Mel_bin.32.strict_final"
"84","Erebus-WC..Melbourne..Rittmann","Ritt_bin.1.strict_final"
"85","Erebus-WC..Melbourne..Rittmann","Ritt_bin.10.strict_final"
"86","Erebus-WC..Melbourne..Rittmann","Ritt_bin.15.permissive_final"
"87","Erebus-WC..Melbourne..Rittmann","Ritt_bin.5.strict_final"
"88","Erebus-WC..Melbourne..Rittmann","Ritt_bin.6.strict_final"
"89","Erebus-TR..Erebus-WC..Rittmann","Erebus-WC_bin.27.orig_final"
"90","Erebus-TR..Erebus-WC..Rittmann","Erebus-WC_bin.30.orig_final"
"91","Erebus-TR..Erebus-WC..Rittmann","Erebus-WC_bin.6.orig_final"
"92","Erebus-TR..Erebus-WC..Rittmann","Erebus-WC_bin.60.permissive_final"
"93","Erebus-TR..Erebus-WC..Rittmann","Ritt_bin.11.strict_final"
"94","Erebus-TR..Erebus-WC..Rittmann","Ritt_bin.13.permissive_final"
"95","Erebus-TR..Erebus-WC..Rittmann","Ritt_bin.3.strict_final"
"96","Erebus-TR..Erebus-WC..Rittmann","Ritt_bin.9.permissive_final"
"97","Erebus-TR..Erebus-WC..Melbourne..Rittmann","Erebus-TR_bin.23.permissive_final"
"98","Erebus-TR..Erebus-WC..Melbourne..Rittmann","Mel_bin.3.permissive_final"
"99","Rittmann","Ritt_bin.7.strict_final"
"100","Rittmann","Ritt_bin.8.strict_final"
"101","Melbourne","Mel_bin.10.orig_final"
"102","Melbourne","Mel_bin.16.orig_final"
"103","Melbourne","Mel_bin.19.orig_final"
"104","Melbourne","Mel_bin.22.strict_final"
"105","Melbourne","Mel_bin.23.orig_final"
"106","Melbourne","Mel_bin.30.orig_final"
"107","Melbourne","Mel_bin.31.orig_final"
"108","Melbourne","Mel_bin.35.orig_final"
"109","Melbourne","Mel_bin.38.permissive_final"
"110","Melbourne","Mel_bin.40.permissive_final"
"111","Melbourne","Mel_bin.42.orig_final"
